table_name,column_name,data_type,is_nullable,column_default
activity_logs,id,uuid,NO,gen_random_uuid()
activity_logs,entity_type,text,NO,null
activity_logs,entity_id,text,NO,null
activity_logs,activity_type,text,NO,null
activity_logs,description,text,YES,null
activity_logs,performed_by,text,YES,null
activity_logs,metadata,jsonb,YES,'{}'::jsonb
activity_logs,created_at,timestamp with time zone,YES,now()
admins,id,uuid,NO,gen_random_uuid()
admins,email,text,NO,null
admins,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
admins,updated_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
customer_keyword_logs,id,uuid,NO,gen_random_uuid()
customer_keyword_logs,store_id,uuid,YES,null
customer_keyword_logs,selected_keywords,ARRAY,YES,null
customer_keyword_logs,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
industry_keywords,id,uuid,NO,gen_random_uuid()
industry_keywords,industry,text,NO,null
industry_keywords,keyword,text,NO,null
industry_keywords,frequency,integer,YES,0
industry_keywords,last_updated,timestamp with time zone,NO,"timezone('utc'::text, now())"
industry_keywords,usage_count,integer,YES,0
login_attempts,id,uuid,NO,gen_random_uuid()
login_attempts,email,text,NO,null
login_attempts,ip_address,inet,NO,null
login_attempts,success,boolean,NO,null
login_attempts,user_agent,text,YES,null
login_attempts,created_at,timestamp with time zone,YES,now()
store_keywords,id,uuid,NO,gen_random_uuid()
store_keywords,store_id,uuid,YES,null
store_keywords,keyword,text,NO,null
store_keywords,priority,integer,YES,0
store_keywords,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
store_keywords,updated_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
store_keywords,category,USER-DEFINED,YES,'general'::keyword_category
store_keywords,usage_count,integer,YES,0
store_keywords,source,text,YES,'manual'::text
store_keywords,industry,text,YES,null
store_keywords,is_primary,boolean,YES,false
store_subscriptions,id,uuid,NO,gen_random_uuid()
store_subscriptions,store_id,uuid,YES,null
store_subscriptions,plan_type,text,NO,'standard'::text
store_subscriptions,expires_at,timestamp with time zone,NO,null
store_subscriptions,auto_renew,boolean,YES,true
store_subscriptions,features,jsonb,YES,"'{""analytics"": true, ""qr_download"": true, ""review_generation"": true, ""review_system_url"": true, ""keyword_management"": true}'::jsonb"
store_subscriptions,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
store_subscriptions,updated_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
store_subscriptions,status,text,YES,'active'::text
store_subscriptions,trial_ends_at,timestamp with time zone,YES,null
stores,id,uuid,NO,gen_random_uuid()
stores,user_id,uuid,YES,null
stores,store_name,text,NO,null
stores,email,text,NO,null
stores,address,text,NO,null
stores,phone,text,NO,null
stores,status,USER-DEFINED,YES,'pending'::store_status
stores,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
stores,updated_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
stores,store_number,integer,NO,nextval('stores_store_number_seq'::regclass)
stores,description,text,YES,null
stores,google_review_url,text,YES,null
stores,industry,text,YES,null
system_logs,id,uuid,NO,gen_random_uuid()
system_logs,level,text,YES,null
system_logs,message,text,YES,null
system_logs,category,text,YES,null
system_logs,details,jsonb,YES,'{}'::jsonb
system_logs,userid,text,YES,null
system_logs,sessionid,text,YES,null
system_logs,timestamp,timestamp with time zone,YES,now()
system_logs,source,text,YES,null
system_logs,useragent,text,YES,null
system_logs,url,text,YES,null
system_logs,stack,text,YES,null
user_roles,id,uuid,NO,gen_random_uuid()
user_roles,user_id,uuid,NO,null
user_roles,role,USER-DEFINED,NO,'user'::app_role
user_roles,created_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
user_roles,updated_at,timestamp with time zone,YES,"timezone('utc'::text, now())"
users,id,uuid,NO,gen_random_uuid()
users,email,text,NO,null
users,role,text,NO,'user'::text
users,name,text,YES,null
users,avatar_url,text,YES,null
users,is_active,boolean,YES,true
users,last_login_at,timestamp with time zone,YES,null
users,created_at,timestamp with time zone,YES,now()
users,updated_at,timestamp with time zone,YES,now()
